Username,Id,PostDate,Text,Reply,Retweet,Like,TweetURL
Brigitte Gabriel,@ACTBrigitte,2022-06-15T18:33:30.000Z,Elon Musk is everything Bill Gates wishes he was.,"3,215","3,967",37.2K,https://twitter.com/ACTBrigitte
Bill Gates,@BillGates,2022-06-15T22:25:37.000Z,I guess we finally ran out of microchips.,"3,215","2,995",14.2K,https://twitter.com/BillGates
Cabot Phillips,@cabot_phillips,2022-06-14T18:43:34.000Z,"Bill Gates has quietly become the largest farmland owner in America. At the same time, he’s become a leading voice in the push for “synthetic meat.” 

Here’s the story of how Bill Gates is waging a war on meat to make millions - and hiding behind “climate change” to do it.","2,105",21.5K,57.6K,https://twitter.com/cabot_phillips
The Verge,@verge,2022-06-15T09:53:28.000Z,Bill Gates says NFTs are ‘100 percent based on greater fool theory’ https://theverge.com/2022/6/15/23169008/bill-gates-cryptocurrency-nft-greater-fool-theory?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter…,227,555,"3,293",https://twitter.com/verge
The Washington Times,@WashTimes,2022-06-11T20:27:54.000Z,"Either fight for God-given liberties now or forever lose the country to globalists like Bill Gates, writes 
@ckchumley
 https://washingtontimes.com/news/2022/jun/11/bill-gates-wants-1-billion-annually-to-prevent-nex/… #opinion",29,141,214,https://twitter.com/WashTimes
The Vaccinated Fox,@VaccinatedFox,2022-06-08T14:50:19.000Z,"""This Was Absolutely Telegraphed"" - Bill Gates & Company Formed a Plan to Profit off the Next Pandemic in 2017

In 2017, the WEF and the Bill & Melinda Gates Foundation produced a business plan that said, ""The next pandemic will be a business opportunity.""",23,681,838,https://twitter.com/VaccinatedFox
Resistere News,@ResistereNews,2022-06-12T12:32:13.000Z,Bill Gates getting called out,13,254,516,https://twitter.com/ResistereNews
beeple,@beeple,2022-06-15T19:50:07.000Z,".
@BillGates
 how about you stop microchipping people's buttholes and then we'll talk about monkey pictures ",513,"1,123","8,023",https://twitter.com/beeple
Bill Gates,@BillGates,2022-06-15T21:19:05.000Z,"Yesterday, I had a chance to spend the day focusing on climate – and the innovations that can prevent the very worst effects of climate change.",1,232,"1,740",https://twitter.com/BillGates
talk•time,@zoominfire1,2022-06-08T14:43:31.000Z,"#Dutch Politician Simone Kerseboom calls out the WHO plandemic treaty and Bill Gates. 

She calls for the #WHO to be closed down.",47,"1,090","1,609",https://twitter.com/zoominfire1
beeple,@beeple,2022-06-15T19:50:07.000Z,".
@BillGates
 how about you stop microchipping people's buttholes and then we'll talk about monkey pictures ",513,"1,123","8,028",https://twitter.com/beeple
Blockworks,@Blockworks_,2022-06-15T15:55:25.000Z,"In 1995, Bill Gates gets mocked for believing in the new tech, the internet.

In 2022, Bill Gates mocks the new tech, crypto.",537,"1,626",10.4K,https://twitter.com/Blockworks_
ApePitagorica,@ApePitagorica,2022-06-12T17:13:06.000Z,"Ensured Infertility Amongst African Women: Bill Gates' Depo-Provera Parties.  
Dr. John T. Littell",537,12,22,https://twitter.com/ApePitagorica
"@samuelbellows on Truth Social ""not a m.d.""",@thomaspained2,2022-06-12T23:16:26.000Z,"Bill Gates, depopulationist and worse",27,144,353,https://twitter.com/thomaspained2
TheQuartering (Humble Bean Merchant),@TheQuartering,2022-06-15T18:18:37.000Z,Bill Gates attended Epstein Island 37 times...that we know of.,126,580,"3,474",https://twitter.com/TheQuartering
Olivia Thunder,@OliviaSerraNu,2022-06-15T17:34:32.000Z,"A WHO-led Pandemic Treaty is a Terrible Idea. Here's Why (in 2 mins).

The Bill & Melinda Gates Foundation, WHO's 2nd largest donor, has invested over $200 million in the pharmaceutical industry. 

The media remain silent. David cannot.

https://davidthunder.substack.com/p/heres-why-a-who-led-global-pandemic?r=wnea7&s=r&utm_campaign=post&utm_medium=web…",8,210,332,https://twitter.com/OliviaSerraNu
"M. Todd Trebony, MD FAAC",@doc_singing,2022-06-07T12:58:18.000Z,"Q. What was the original name of the Bill and Melinda Gates Foundation?

A. Bill and Melinda Gates Institute for Population Control!?",19,480,503,https://twitter.com/doc_singing
Regulator,@Regulator_2033,2022-06-15T18:45:59.000Z,Arrest Bill Gates!!!! #Pfizer #pfizerdocuments #PfizerDocs #VaccineSideEffects #VaccineInjured #VaccineDeaths #vaccinediaster #World Bank #Blackrock #abolishNATO #bidenchildabuse,28,118,376,https://twitter.com/Regulator_2033
Dr Pink Clam,@SurvivalZippy,2022-06-12T20:13:58.000Z,"Bill Gates is amazing.
He launches his brand of artificial breast milk right as formula shortage hits the US.
He is the largest investor in vaccines and there's a pandemic.
And he is the largest owner of farmland in America and there's a food crisis.

It's like he's clairvoyant.",34,151,359,https://twitter.com/SurvivalZippy
George,@BehizyTweets,2022-06-14T22:01:16.000Z,I wonder if Bill Gates' Ex-Wife just got tired of his synthetic meat,21,23,190,https://twitter.com/BehizyTweets
New World Over,@MakoEyes47,2022-06-11T14:28:13.000Z,#BillGates caused this. he's trying to wriggle away from it all now. Don't let him.,1,33,50,https://twitter.com/MakoEyes47
Bill Gates,@BillGates,2022-06-14T01:17:08.000Z,"The fact is, we’ve never been closer to ending polio. The huge progress Pakistan has made in the fight against polio is a reminder for why the world cannot lose sight of this goal.",1,281,"1,951",https://twitter.com/BillGates
Keean Bexte,@TheRealKeean,2022-06-13T01:47:23.000Z,Melinda Gates knew Bill and Epstein were sick.,147,463,"1,343",https://twitter.com/TheRealKeean
Dean Smith #KBF,@DeanSmi47962704,2022-06-15T21:32:15.000Z,Bill Gates can stick his disgusting fake meat where the sun don't shine!,147,17,31,https://twitter.com/DeanSmi47962704
Dr Sema de Wolfe ⵣ,@DrSemaDeWolfe,2022-06-12T14:36:13.000Z,"Bill Gates, a malignant narcissistic psychopath (malignarciopath, term by Dr Barbara Hollinger, PhD). Gates is currently the single greatest danger to the Earth’s very atmosphere, to all living organisms, & to humans’ existence.
URGENT: Gates must be full stopped. Now.",8,57,101,https://twitter.com/DrSemaDeWolfe
Grant Taylor,@grantltaylor,2022-06-10T15:25:50.000Z,"In 2008, Bill Gates attempted to make a funny retirement video with Microsoft. 

The video contains a reference to Monkeypox and includes some unsurprising features…

Matthew McConaughey
Hillary Clinton
Barack Obama
Al Gore",43,256,422,https://twitter.com/grantltaylor
SaveYourself,@RyanaBreen1,2022-06-10T23:01:12.000Z,Did you know Bill Gates is the largest owner of seeds in the world?,8,61,144,https://twitter.com/RyanaBreen1
Bill Gates,@BillGates,2022-06-14T23:06:16.000Z,"I’m grateful for Warren’s gifts to support the foundation’s work and for our many years of friendship. When he decided in 2006 to make these gifts, it moved me to tears. It still does.",8,365,"2,512",https://twitter.com/BillGates
PRINCE CARLTON ,@_PrinceCarlton_,2022-06-16T02:07:42.000Z,"3,000 Cattle just died in Kansas, They said it was because of the heat, but with all the processing plants mysteriously catching on fire. We know this is an deliberate attack on our food source. #BillGates #Kansas",12,58,86,https://twitter.com/_PrinceCarlton_
Bill Gates,@BillGates,2022-06-14T23:06:16.000Z,"I’m grateful for Warren’s gifts to support the foundation’s work and for our many years of friendship. When he decided in 2006 to make these gifts, it moved me to tears. It still does.",12,365,"2,512",https://twitter.com/BillGates
Bill Gates,@BillGates,2022-06-09T19:02:25.000Z,What if you could visit a museum exhibit about the last pandemic the world ever faced – COVID-19 – fifty years in the future?,12,430,"1,662",https://twitter.com/BillGates
Jeff's Truth Serum,@jeff29935001,2022-06-14T18:07:55.000Z,"The WHO is a Bill Gates funded corporation and should have zero say in our lives.
The CDC is thoroughly corrupted by Big Pharma and should have zero say in our lives.
The WEF is a satanic billionaires club and should have zero say in our lives.",18,149,342,https://twitter.com/jeff29935001
Texas Ranger,@Texas_Ranger724,2022-06-12T03:04:42.000Z,"Bill Gates should be arrested and charged with crimes against humanity. All of his land holdings should be seized and given to worthy farmers!! 

any vaccine program that he is connected with should be abandoned immediately. The world would take a turn for the better in a hurry!",87,338,860,https://twitter.com/Texas_Ranger724
Bill Gates,@BillGates,2022-06-10T17:23:03.000Z,"Thank you 
@SenatorDurbin
 for the productive conversation on preparing for and preventing the next pandemic.",87,225,"1,260",https://twitter.com/BillGates
Wittgenstein,@backtolife_2022,2022-06-15T14:29:40.000Z,A decade of vaccines: Bill Gates' meeting with Fauci,45,519,817,https://twitter.com/backtolife_2022
